case,system,gold_id,gold,predicted,via,computed
case_01,agent,a_rows,violated,violated,span,row_count=32591
case_01,agent,a_prov,unverifiable,unverifiable,span,
case_01,agent,a_age,holds,holds,span,"min=17, max=90"
case_01,agent,a_sex,holds,holds,span,"unique values: ['Female', 'Male']"
case_01,agent,a_race,violated,violated,span,"6 categories: ['Amer-Indian-Eskimo', 'Asian-Pac-Islander', 'Black', 'Other', 'Pacific-Islander-Other', 'White']"
case_01,agent,a_income,holds,holds,span,"unique_values=['<=50K', '>50K']"
case_01,agent,a_hours,holds,holds,span,"min=1, max=99"
case_01,agent,a_nulls,violated,violated,span,"sentinel('?') count=4264 across cols={'workclass': 1837, 'occupation': 1843, 'native_country': 584}; actual_nulls=17"
case_01,agent,a_mean_age,violated,violated,span,mean age = 38.5830
case_01,baseline,a_rows,violated,unverifiable,span,
case_01,baseline,a_prov,unverifiable,unverifiable,span,
case_01,baseline,a_age,holds,unverifiable,span,
case_01,baseline,a_sex,holds,holds,span,"Only Male and Female observed across all 50 sampled rows, matching object dtype"
case_01,baseline,a_race,violated,unverifiable,span,
case_01,baseline,a_income,holds,holds,span,Only '<=50K' and '>50K' observed in the sample's income column
case_01,baseline,a_hours,holds,unverifiable,span,
case_01,baseline,a_nulls,violated,holds,span,"No empty/null cells observed in the 50-row sample; '?' appears in workclass, occupation, and native_country for missing entries"
case_01,baseline,a_mean_age,violated,violated,span,"Sample mean age ≈ 38.28 years (from the 50 rows shown), notably lower than claimed"
case_01,baseline_plus,a_rows,violated,violated,span,"32,591 records (row count per summary statistics)"
case_01,baseline_plus,a_prov,unverifiable,unverifiable,span,
case_01,baseline_plus,a_age,holds,holds,span,"min age 17, max age 90"
case_01,baseline_plus,a_sex,holds,holds,span,"sex unique=2, values Male/Female"
case_01,baseline_plus,a_race,violated,violated,span,"race unique=6 (White, Black, Asian-Pac-Islander, Amer-Indian-Eskimo, Other, Pacific-Islander-Other)"
case_01,baseline_plus,a_income,holds,holds,span,"income unique=2, values <=50K and >50K"
case_01,baseline_plus,a_hours,holds,holds,span,"min hours_per_week 1, max 99"
case_01,baseline_plus,a_nulls,violated,holds,span,"workclass, occupation, and native_country columns contain a '?' category (1837, 1843, and 584 occurrences respectively)"
case_01,baseline_plus,a_mean_age,violated,violated,span,mean age = 38.58 years
case_02,agent,p_prov,unverifiable,unverifiable,span,
case_02,agent,p_rows,holds,holds,span,row_count=344
case_02,agent,p_species,holds,holds,span,"species values found: ['Adelie', 'Chinstrap', 'Gentoo']"
case_02,agent,p_islands,holds,holds,span,"islands=Biscoe, Dream, Torgersen"
case_02,agent,p_year,violated,violated,span,year range observed: 2007-2009 (expected 2007-2011)
case_02,agent,p_mass,violated,violated,span,"min=2700.0, max=7150.0"
case_02,agent,p_bill,holds,holds,span,mean=43.9219 mm (target 43.9 mm)
case_02,agent,p_phantom,violated,violated,span,missing-column
case_02,agent,p_sex_nulls,violated,violated,span,3.20% missing (11/344)
case_02,baseline,p_prov,unverifiable,unverifiable,span,
case_02,baseline,p_rows,holds,unverifiable,span,
case_02,baseline,p_species,holds,unverifiable,span,
case_02,baseline,p_islands,holds,holds,span,"The island column contains exactly Biscoe, Dream and Torgersen in the observed rows (Torgersen rows 1-20, Biscoe rows 21-30, Dream rows 31-50), matching the claim."
case_02,baseline,p_year,violated,unverifiable,span,
case_02,baseline,p_mass,violated,unverifiable,span,
case_02,baseline,p_bill,holds,unverifiable,span,
